Qubit,T1 (µs),T2 (µs),Frequency (GHz),Readout error,Single-qubit U2 error rate,CNOT error rate,Date
Q0,70.71174800277221,101.36558000218962,5.114866729201413,2.300000000000002e-2,4.3516487052221885e-4,"cx0_1: 1.959e-2, cx0_14: 2.873e-2",Thu Aug 06 2020 23:49:07 GMT-0700 (Pacific Daylight Time)
Q1,50.67262764450128,54.94399206514927,5.235701304481855,3.700000000000003e-2,1.0162679806481768e-3,"cx1_0: 1.959e-2, cx1_2: 1.286e-2, cx1_13: 5.044e-2",Thu Aug 06 2020 23:49:07 GMT-0700 (Pacific Daylight Time)
Q2,78.43430648795355,115.27929223188326,5.038402739273939,2.6499999999999968e-2,4.69616460960348e-4,"cx2_1: 1.286e-2, cx2_3: 2.308e-2, cx2_12: 3.777e-2",Thu Aug 06 2020 23:49:07 GMT-0700 (Pacific Daylight Time)
Q3,57.37429641411992,16.96075192649801,4.89458861844574,9.499999999999997e-2,4.899493420682071e-4,"cx3_2: 2.308e-2, cx3_4: 2.378e-2, cx3_11: 2.863e-2",Thu Aug 06 2020 23:49:07 GMT-0700 (Pacific Daylight Time)
Q4,45.542217780216895,35.59140123489306,5.021559799081257,3.949999999999998e-2,7.899583653234063e-4,"cx4_3: 2.378e-2, cx4_5: 4.677e-2, cx4_10: 4.706e-2",Thu Aug 06 2020 23:49:07 GMT-0700 (Pacific Daylight Time)
Q5,18.793931151079306,33.713912246099554,5.0730743997933105,6.95e-2,2.6154164999229617e-3,"cx5_4: 4.677e-2, cx5_6: 5.112e-2, cx5_9: 4.196e-2",Thu Aug 06 2020 23:49:07 GMT-0700 (Pacific Daylight Time)
Q6,63.395144867335915,71.78642147279497,4.92935433986887,3.1000000000000028e-2,1.5826890524762067e-3,"cx6_5: 5.112e-2, cx6_8: 2.590e-2",Thu Aug 06 2020 23:49:07 GMT-0700 (Pacific Daylight Time)
Q7,35.92524978556947,14.143256341268964,4.982612338692442,4.6499999999999986e-2,2.9640333079388637e-3,"cx7_8: 4.227e-2",Thu Aug 06 2020 23:49:07 GMT-0700 (Pacific Daylight Time)
Q8,61.852743051241944,76.37853305352017,4.751623310420695,6.05e-2,9.404915165163115e-4,"cx8_6: 2.590e-2, cx8_7: 4.227e-2, cx8_9: 2.727e-2",Thu Aug 06 2020 23:49:07 GMT-0700 (Pacific Daylight Time)
Q9,41.642927192604006,61.70208698656738,4.9734566086772904,6.75e-2,1.591984786297909e-3,"cx9_5: 4.196e-2, cx9_8: 2.727e-2, cx9_10: 4.051e-2",Thu Aug 06 2020 23:49:07 GMT-0700 (Pacific Daylight Time)
Q10,63.1160389321764,62.4912245088356,4.944804762484098,9.150000000000003e-2,1.7793391999865254e-3,"cx10_4: 4.706e-2, cx10_9: 4.051e-2, cx10_11: 3.257e-2",Thu Aug 06 2020 23:49:07 GMT-0700 (Pacific Daylight Time)
Q11,40.427356252126266,68.09375156290649,4.997325926184138,3.5499999999999976e-2,5.150042968721986e-4,"cx11_3: 2.863e-2, cx11_10: 3.257e-2, cx11_12: 1.626e-2",Thu Aug 06 2020 23:49:07 GMT-0700 (Pacific Daylight Time)
Q12,77.12023052465149,63.67800763328007,4.763419762719284,8.450000000000002e-2,8.797125583656307e-4,"cx12_2: 3.777e-2, cx12_11: 1.626e-2, cx12_13: 2.570e-2",Thu Aug 06 2020 23:49:07 GMT-0700 (Pacific Daylight Time)
Q13,19.881728937346335,24.282733029432823,4.974244553951138,7.650000000000001e-2,3.169176644945277e-3,"cx13_1: 5.044e-2, cx13_12: 2.570e-2, cx13_14: 3.583e-2",Thu Aug 06 2020 23:49:07 GMT-0700 (Pacific Daylight Time)
Q14,44.223496471837336,54.92845864326709,5.006785955790807,4.849999999999999e-2,6.782962830091609e-4,"cx14_0: 2.873e-2, cx14_13: 3.583e-2",Thu Aug 06 2020 23:49:07 GMT-0700 (Pacific Daylight Time)
